HORA,ALB,AVE,DEC,DEL,ILL,RET,SAL,SAR
0,25.236806031528445,106.58950118173902,39.351268255188316,55.19613259668508,71.5886965527445,10.845642049234863,4.843085106382978,17.184993531694698
1,19.43208475217556,82.5141280947255,29.75064625173991,43.08777686628384,50.75395569620253,7.982984594159577,3.4867256637168142,10.37467362924282
2,14.081185567010309,57.622699817390085,21.08387776606955,32.75945485519591,35.85202236106544,6.377872542051646,2.618181818181818,6.57703081232493
3,10.63245492371706,44.24578347989044,17.919060599706437,30.97811360083377,28.733542838240158,5.950643274853801,2.5236220472440944,5.029874213836478
4,9.719780219780219,48.190495982266555,27.634266263237517,33.7011338635979,31.812331161608135,7.18450184501845,2.7169117647058822,5.244219653179191
5,18.9104,88.70027033115566,59.49943502824859,46.07430475086906,54.35581583198707,12.164002368265246,3.967032967032967,8.153846153846153
6,38.424403927068724,176.9771882741536,95.01312878005605,68.22075782537067,115.82642777155655,16.522567703109328,5.64850136239782,12.915441176470589
7,73.8032449137265,151.22093959731544,119.72136485912502,89.28112887596899,161.1831281349749,19.84008160703076,7.580722891566265,47.552224371373306
8,91.21647940074907,167.43953075008886,141.13517220359645,107.38182249644044,179.07284939292174,22.081467945789555,8.261663286004056,67.62351945854483
9,88.37011033099297,166.64569770733087,128.96421471172962,106.05462769659012,171.6416961130742,23.791621411947247,8.712742980561556,63.66634799235182
10,80.09637964774952,251.1441726903654,121.11597151576805,113.01949246046341,207.89792210741456,25.213821261152276,8.442622950819672,48.74954954954955
11,80.61735070041779,274.18705108750635,119.40032319670927,118.99065304087736,214.3662022150768,26.601927130382414,9.927813163481954,56.722007722007724
12,84.53176527643065,282.2444466383651,119.12674384090235,122.74193548387096,219.03866309537673,27.97866907015172,11.567391304347826,65.59038461538462
13,85.17033631744495,287.12163089287463,123.27446336047372,120.41130820399113,218.0763792304126,30.053196312528335,12.369330453563714,57.941947565543074
14,82.89386963896293,275.50573818323284,113.80284582660994,115.826450284607,204.21855670103093,31.57842548076923,11.226262626262626,50.05223880597015
15,85.48662576687117,282.85934109291776,109.75007333528895,111.64610705596107,220.6642127760627,30.536296296296296,12.65810276679842,56.6390977443609
16,85.48031309297913,291.8291335530142,115.06788432267885,116.05348258706468,228.60410022779044,32.56238615664845,13.79718875502008,58.1957773512476
17,88.37166469893742,195.02140691703272,123.23159509202453,106.57669749605233,178.1070084100921,33.26860308429406,16.292110874200425,59.10059760956175
18,88.96314788397527,198.02796364095443,121.79051889814221,110.74358365019012,185.44680153984766,34.895272837817295,15.205394190871369,57.3080040526849
19,77.1937775600196,179.3878892503818,102.50186174518375,112.35505534137545,157.82201086956522,27.947787328876153,13.723744292237443,54.469805527123846
20,72.14415820973198,261.5256826027827,102.31485477178423,114.86632626341974,180.68220640569396,26.4892374436843,13.265700483091788,54.41109969167523
21,59.6763698630137,218.47728260869565,90.99145860709592,102.14867256637169,144.95261084995553,21.345759717314486,10.297229219143578,36.630387931034484
22,39.19193117769208,151.13678110649465,66.80899461712103,78.22566752799311,101.62228469205213,18.310603222180593,7.089285714285714,21.451396648044692
23,30.23643410852713,121.08778173190984,47.60351455244371,60.539804364183595,82.84443513475772,13.376753926701571,5.613157894736842,18.305454545454545
